Name,r,theta°,phi°
Coordinate System46,0.066,174.5,47.2
Coordinate System47,0.065,181.7,44.0
Coordinate System48,0.065,189.7,41.2
Coordinate System49,0.066,198.5,39.0
Coordinate System50,0.066,216.1,29.2
Coordinate System51,0.066,224.4,24.4
Coordinate System52,0.066,236.1,20.3
Coordinate System53,0.066,262.6,29.4
Coordinate System54,0.066,255.9,34.3
Coordinate System55,0.066,226.5,42.1
Coordinate System56,0.065,211.9,50.3
Coordinate System57,0.064,204.4,51.7
Coordinate System58,0.063,196.9,53.6
Coordinate System59,0.064,183.1,58.7
Coordinate System60,0.065,177.1,61.7
Coordinate System61,0.066,189.6,70.7
Coordinate System62,0.065,195.6,68.5
Coordinate System63,0.065,201.8,66.4
Coordinate System64,0.066,208.2,64.6
Coordinate System65,0.066,175.4,119.0
Coordinate System66,0.065,181.3,116.0
Coordinate System67,0.065,186.9,112.6
Coordinate System68,0.066,192.2,109.1
Coordinate System69,0.066,196.8,96.1
Coordinate System70,0.066,196.8,90.0
Coordinate System71,0.066,196.8,83.9
Coordinate System72,0.066,209.8,77.9
Coordinate System73,0.066,213.4,82.8
Coordinate System74,0.066,213.4,97.2
Coordinate System75,0.066,209.8,102.1
Coordinate System76,0.065,206.7,115.1
Coordinate System77,0.064,201.8,119.2
Coordinate System78,0.063,196.3,123.3
Coordinate System79,0.063,190.2,127.2
Coordinate System80,0.064,183.5,130.6
Coordinate System81,0.065,176.5,133.6
Coordinate System82,0.066,194.6,141.6
Coordinate System83,0.065,201.7,137.6
Coordinate System84,0.065,207.9,133.3
Coordinate System85,0.066,213.1,128.7
Coordinate System86,0.066,19.9,168.2
Coordinate System87,0.065,351.6,172.0
Coordinate System88,0.065,306.5,172.0
Coordinate System89,0.066,277.3,168.4
Coordinate System90,0.066,236.1,159.7
Coordinate System91,0.066,224.4,155.6
Coordinate System92,0.066,216.1,150.8
Coordinate System93,0.066,226.5,137.9
Coordinate System94,0.066,235.5,138.5
Coordinate System95,0.066,255.9,145.7
Coordinate System96,0.066,262.6,150.6
Coordinate System97,0.065,290.6,154.2
Coordinate System98,0.064,303.5,157.2
Coordinate System99,0.063,319.5,158.9
Coordinate System100,0.063,337.1,158.9
Coordinate System101,0.064,353.1,157.2
Coordinate System102,0.065,5.9,154.2
Coordinate System103,0.066,344.3,144.5
Coordinate System104,0.065,333.9,145.5
Coordinate System105,0.065,323.1,145.5
Coordinate System106,0.066,312.6,144.6
Coordinate System107,0.066,4.0,96.9
Coordinate System108,0.065,358.8,100.0
Coordinate System109,0.065,353.4,103.2
Coordinate System110,0.066,348.0,106.2
Coordinate System111,0.066,340.9,118.3
Coordinate System112,0.066,339.5,124.2
Coordinate System113,0.066,337.9,130.2
Coordinate System114,0.066,319.2,131.9
Coordinate System115,0.066,317.5,126.0
Coordinate System116,0.066,323.7,112.7
Coordinate System117,0.066,329.0,109.2
Coordinate System118,0.065,335.8,97.6
Coordinate System119,0.064,341.0,94.7
Coordinate System120,0.063,346.5,91.6
Coordinate System121,0.063,351.9,88.4
Coordinate System122,0.064,357.3,85.3
Coordinate System123,0.065,2.6,82.4
Coordinate System124,0.066,350.6,73.7
Coordinate System125,0.065,345.1,76.7
Coordinate System126,0.065,339.8,79.8
Coordinate System127,0.066,334.5,83.0
Coordinate System128,0.066,9.4,25.2
Coordinate System129,0.065,357.5,28.1
Coordinate System130,0.065,347.8,31.8
Coordinate System131,0.066,340.2,36.1
Coordinate System132,0.066,337.9,49.8
Coordinate System133,0.066,339.5,55.8
Coordinate System134,0.066,340.9,61.7
Coordinate System135,0.066,329.0,70.8
Coordinate System136,0.066,323.7,67.3
Coordinate System137,0.066,317.5,54.0
Coordinate System138,0.066,319.2,48.1
Coordinate System139,0.065,314.9,35.0
Coordinate System140,0.064,318.7,29.4
Coordinate System141,0.063,324.4,23.7
Coordinate System142,0.063,333.3,18.2
Coordinate System143,0.064,348.6,13.6
Coordinate System144,0.065,14.0,10.7
Coordinate System145,0.066,279.5,9.1
Coordinate System146,0.065,286.1,15.1
Coordinate System147,0.065,289.1,21.1
Coordinate System148,0.066,290.7,27.1
Coordinate System149,0.066,229.8,54.5
Coordinate System150,0.065,226.7,60.0
Coordinate System151,0.065,223.8,65.5
Coordinate System152,0.066,221.2,71.1
Coordinate System153,0.066,221.1,108.7
Coordinate System154,0.065,223.7,114.2
Coordinate System155,0.065,226.6,119.8
Coordinate System156,0.066,229.7,125.2
Coordinate System157,0.066,277.7,141.1
Coordinate System158,0.065,286.5,138.9
Coordinate System159,0.065,294.6,136.1
Coordinate System160,0.066,301.8,132.9
Coordinate System161,0.066,320.8,99.0
Coordinate System162,0.066,320.8,93.0
Coordinate System163,0.066,320.8,87.0
Coordinate System164,0.066,320.8,81.0
Coordinate System165,0.066,301.8,47.1
Coordinate System166,0.065,294.6,43.9
Coordinate System167,0.065,286.5,41.1
Coordinate System168,0.066,277.7,38.9
Coordinate System169,0.065,299.5,118.3
Coordinate System170,0.064,293.4,121.3
Coordinate System171,0.063,286.8,124.0
Coordinate System172,0.063,279.7,126.4
Coordinate System173,0.064,272.2,128.3
Coordinate System174,0.065,264.7,129.7
Coordinate System175,0.065,247.5,124.0
Coordinate System176,0.064,243.6,118.9
Coordinate System177,0.063,240.0,113.6
Coordinate System178,0.063,236.6,108.2
Coordinate System179,0.064,233.5,102.7
Coordinate System180,0.065,230.6,97.4
Coordinate System181,0.065,230.6,82.6
Coordinate System182,0.064,233.5,77.3
Coordinate System183,0.063,236.6,71.8
Coordinate System184,0.063,240.0,66.4
Coordinate System185,0.064,243.6,61.1
Coordinate System186,0.065,247.5,56.0
Coordinate System187,0.065,264.7,50.3
Coordinate System188,0.064,272.2,51.7
Coordinate System189,0.063,279.7,53.6
Coordinate System190,0.063,286.8,56.0
Coordinate System191,0.064,293.4,58.7
Coordinate System192,0.065,299.5,61.7
Coordinate System193,0.066,307.4,74.8
Coordinate System194,0.065,307.4,80.7
Coordinate System195,0.064,307.4,86.9
Coordinate System196,0.064,307.4,93.1
Coordinate System197,0.065,307.4,99.3
Coordinate System198,0.066,307.4,105.2
Coordinate System199,0.066,294.0,99.0
Coordinate System200,0.066,294.0,93.0
Coordinate System201,0.066,294.0,87.0
Coordinate System202,0.066,294.0,81.0
Coordinate System203,0.066,286.8,70.6
Coordinate System204,0.065,280.8,68.4
Coordinate System205,0.065,274.5,66.3
Coordinate System206,0.066,268.1,64.6
Coordinate System207,0.066,255.8,68.6
Coordinate System208,0.065,252.1,73.6
Coordinate System209,0.065,248.6,78.7
Coordinate System210,0.066,245.3,83.8
Coordinate System211,0.066,245.2,96.0
Coordinate System212,0.065,248.5,101.1
Coordinate System213,0.065,252.0,106.2
Coordinate System214,0.066,255.6,111.2
Coordinate System215,0.066,268.1,115.4
Coordinate System216,0.065,274.5,113.7
Coordinate System217,0.065,280.8,111.6
Coordinate System218,0.066,286.8,109.4
Coordinate System219,0.066,122.0,47.2
Coordinate System220,0.065,114.9,44.0
Coordinate System221,0.065,106.8,41.2
Coordinate System222,0.066,98.0,39.0
Coordinate System223,0.066,49.8,54.5
Coordinate System224,0.065,46.7,60.0
Coordinate System225,0.065,43.8,65.5
Coordinate System226,0.066,41.2,71.1
Coordinate System227,0.066,41.2,108.9
Coordinate System228,0.065,43.8,114.5
Coordinate System229,0.065,46.7,120.0
Coordinate System230,0.066,49.8,125.5
Coordinate System231,0.066,98.0,141.0
Coordinate System232,0.065,106.8,138.8
Coordinate System233,0.065,114.9,136.0
Coordinate System234,0.066,122.0,132.8
Coordinate System235,0.066,140.9,99.2
Coordinate System236,0.065,140.9,93.2
Coordinate System237,0.065,140.9,87.1
Coordinate System238,0.066,140.9,81.0
Coordinate System239,0.066,154.3,96.9
Coordinate System240,0.065,159.6,100.0
Coordinate System241,0.065,164.9,103.2
Coordinate System242,0.066,170.4,106.2
Coordinate System243,0.065,182.6,97.6
Coordinate System244,0.064,177.3,94.7
Coordinate System245,0.063,171.9,91.6
Coordinate System246,0.063,166.5,88.4
Coordinate System247,0.064,161.0,85.3
Coordinate System248,0.065,155.8,82.4
Coordinate System249,0.066,149.0,70.8
Coordinate System250,0.066,143.7,67.3
Coordinate System251,0.066,137.5,54.0
Coordinate System252,0.066,139.2,48.1
Coordinate System253,0.066,157.9,49.8
Coordinate System254,0.066,159.5,55.8
Coordinate System255,0.066,160.9,61.7
Coordinate System256,0.066,167.8,73.7
Coordinate System257,0.065,173.2,76.7
Coordinate System258,0.065,178.6,79.8
Coordinate System259,0.066,183.8,83.0
Coordinate System260,0.066,132.2,35.5
Coordinate System261,0.065,142.7,34.5
Coordinate System262,0.065,153.5,34.5
Coordinate System263,0.066,163.9,35.4
Coordinate System264,0.065,185.9,25.8
Coordinate System265,0.064,173.1,22.8
Coordinate System266,0.063,157.1,21.1
Coordinate System267,0.063,139.5,21.1
Coordinate System268,0.064,123.5,22.8
Coordinate System269,0.065,110.6,25.8
Coordinate System270,0.066,82.6,29.4
Coordinate System271,0.066,75.9,34.3
Coordinate System272,0.066,55.5,41.5
Coordinate System273,0.066,46.5,42.1
Coordinate System274,0.066,36.1,29.2
Coordinate System275,0.066,44.4,24.4
Coordinate System276,0.066,56.1,20.3
Coordinate System277,0.066,96.6,11.8
Coordinate System278,0.065,124.9,8.0
Coordinate System279,0.065,170.1,8.0
Coordinate System280,0.066,199.2,11.6
Coordinate System281,0.066,33.3,51.5
Coordinate System282,0.065,28.1,46.9
Coordinate System283,0.065,22.0,42.5
Coordinate System284,0.066,14.9,38.6
Coordinate System285,0.065,356.5,46.4
Coordinate System286,0.064,3.5,49.4
Coordinate System287,0.063,10.2,52.8
Coordinate System288,0.063,16.3,56.7
Coordinate System289,0.064,21.8,60.8
Coordinate System290,0.065,26.7,64.9
Coordinate System291,0.066,29.8,77.9
Coordinate System292,0.066,33.4,82.8
Coordinate System293,0.066,33.4,97.2
Coordinate System294,0.066,29.8,102.1
Coordinate System295,0.066,16.8,96.1
Coordinate System296,0.066,16.8,90.0
Coordinate System297,0.066,16.8,83.9
Coordinate System298,0.066,12.4,71.0
Coordinate System299,0.065,7.1,67.5
Coordinate System300,0.065,1.5,64.2
Coordinate System301,0.066,355.7,61.1
Coordinate System302,0.066,28.4,115.4
Coordinate System303,0.065,22.1,113.7
Coordinate System304,0.065,15.8,111.6
Coordinate System305,0.066,9.8,109.4
Coordinate System306,0.065,357.1,118.3
Coordinate System307,0.064,3.1,121.3
Coordinate System308,0.063,9.8,124.0
Coordinate System309,0.063,16.9,126.4
Coordinate System310,0.064,24.4,128.3
Coordinate System311,0.065,31.9,129.7
Coordinate System312,0.066,46.5,137.9
Coordinate System313,0.066,55.5,138.5
Coordinate System314,0.066,75.9,145.7
Coordinate System315,0.066,82.6,150.6
Coordinate System316,0.066,56.1,159.7
Coordinate System317,0.066,44.4,155.6
Coordinate System318,0.066,36.1,150.8
Coordinate System319,0.066,18.9,141.1
Coordinate System320,0.065,10.1,138.9
Coordinate System321,0.065,2.0,136.1
Coordinate System322,0.066,354.8,132.9
Coordinate System323,0.066,110.8,152.6
Coordinate System324,0.065,109.1,158.7
Coordinate System325,0.065,106.3,164.7
Coordinate System326,0.066,99.9,170.6
Coordinate System327,0.065,194.0,169.3
Coordinate System328,0.064,168.6,166.4
Coordinate System329,0.063,153.3,161.8
Coordinate System330,0.063,144.4,156.3
Coordinate System331,0.064,138.7,150.6
Coordinate System332,0.065,134.9,145.0
Coordinate System333,0.066,139.2,131.9
Coordinate System334,0.066,137.5,126.0
Coordinate System335,0.066,143.7,112.7
Coordinate System336,0.066,149.0,109.2
Coordinate System337,0.066,160.9,118.3
Coordinate System338,0.066,159.5,124.2
Coordinate System339,0.066,157.9,130.2
Coordinate System340,0.066,159.9,143.7
Coordinate System341,0.065,167.5,148.0
Coordinate System342,0.065,177.1,151.8
Coordinate System343,0.066,188.9,154.7
Coordinate System344,0.066,113.9,99.2
Coordinate System345,0.065,113.9,93.2
Coordinate System346,0.065,113.9,87.1
Coordinate System347,0.066,113.9,81.0
Coordinate System348,0.066,107.0,70.7
Coordinate System349,0.065,101.0,68.5
Coordinate System350,0.065,94.8,66.4
